city,corrected_city
LAKE HAVASU CIT,LAKE HAVASU CITY
NORTH LITTLE RO,NORTH LITTLE ROCK
COLORADO SPRING,COLORADO SPRINGS
SAINT PETERSBUR,SAINT PETERSBURG
PALM BEACH GARD,PALM BEACH GARDENS
FORT WALTON BEA,FORT WALTON BEACH
PORT SAINT LUCI,PORT SAINT LUCIE
ARLINGTON HEIGH,ARLINGTON HEIGHTS
ELK GROVE VILLA,ELK GROVE VILLAGE
CLINTON TOWNSHI,CLINTON TOWNSHIP
FARMINGTON HILL,FARMINGTON HILLS
COMMERCE TOWNSH,COMMERCE TOWNSHIP
SAINT LOUIS PAR,SAINT LOUIS PARK
RICHMOND HEIGHT,RICHMOND HEIGHTS
NORTH KANSAS CI,NORTH KANSAS CITY
TOWN AND COUNTR,TOWN AND COUNTRY
SARATOGA SPRING,SARATOGA SPRINGS
MIDDLEBURG HEIG,MIDDLEBURG HEIGHTS
MAYFIELD HEIGHT,MAYFIELD HEIGHTS
EAST STROUDSBUR,EAST STROUDSBURG
SOUTH CHARLESTO,SOUTH CHARLESTON
ROCKVILLE CENTR,ROCKVILLE CENTRE
GARFIELD HEIGHT,GARFIELD HEIGHTS
WARRENSVILLE HE,WARRENSVILLE HEIGHTS
NEW SMYRNA BEAC,NEW SMYRNA BEACH
GLENDALE HEIGHT,GLENDALE HEIGHTS
PRINCE FREDERIC,PRINCE FREDERICK
SAULT SAINTE MA,SAULT SAINTE MARIE
LAKE SAINT LOUI,LAKE SAINT LOUIS
STAFFORD SPRING,STAFFORD SPRINGS
JACKSONVILLE BE,JACKSONVILLE BEACH
NORTH WILKESBOR,NORTH WILKESBORO
NORTH PROVIDENC,NORTH PROVIDENCE
HILTON HEAD ISL,HILTON HEAD ISLAND
SOUTH WILLIAMSO,SOUTH WILLIAMSON
FERNANDINA BEAC,FERNANDINA BEACH
HUNTINGTON BEAC,HUNTINGTON BEACH
HAWAIIAN GARDEN,HAWAIIAN GARDENS
DEFUNIAK SPRING,DEFUNIAK SPRINGS
WISCONSIN RAPID,WISCONSIN RAPIDS
NEW MARTINSVILL,NEW MARTINSVILLE
SOUTH LAKE TAHO,SOUTH LAKE TAHOE
GLENWOOD SPRING,GLENWOOD SPRINGS
STEAMBOAT SPRIN,STEAMBOAT SPRINGS
SOUTH SAN FRANC,SOUTH SAN FRANCISCO
