provider_id,provider_name,provider_state,lat,lng
10001,SOUTHEAST ALABAMA MEDICAL CENTER,AL,31.21588400000001,-85.3630079
10005,MARSHALL MEDICAL CENTER SOUTH,AL,34.2031662,-86.15209689999998
10006,ELIZA COFFEE MEMORIAL HOSPITAL,AL,34.7937966,-87.6832735
10011,ST VINCENTS EAST,AL,33.5969713,-86.66781259999998
10016,SHELBY BAPTIST MEDICAL CENTER,AL,33.2524436,-86.81355450000002
10023,BAPTIST MEDICAL CENTER SOUTH,AL,32.326946299999996,-86.2710335
10029,EAST ALABAMA MEDICAL CENTER AND SNF,AL,32.64016289999999,-85.4037506
10033,UNIVERSITY OF ALABAMA HOSPITAL,AL,33.5058687,-86.8020798
10039,HUNTSVILLE HOSPITAL,AL,34.7211299,-86.5806676
10040,GADSDEN REGIONAL MEDICAL CENTER,AL,34.0077928,-85.9658747
10046,RIVERVIEW REGIONAL MEDICAL CENTER,AL,34.004264899999995,-86.003393
10055,FLOWERS HOSPITAL,AL,31.237366499999997,-85.45478630000002
10056,ST VINCENTS BIRMINGHAM,AL,33.5071812,-86.78891109999998
10078,NORTHEAST ALABAMA REGIONAL MED CENTER,AL,33.655631,-85.82338259999999
10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,AL,30.426093800000004,-87.68430790000002
10085,DECATUR GENERAL HOSPITAL,AL,34.59209570000001,-86.972124
10090,PROVIDENCE HOSPITAL,AL,30.6782817,-88.19855229999996
10092,D C H REGIONAL MEDICAL CENTER,AL,33.205398100000004,-87.52648119999998
10100,THOMAS HOSPITAL,AL,30.51997960000001,-87.88820229999996
10103,BAPTIST MEDICAL CENTER-PRINCETON,AL,33.4984021,-86.84701659999998
10104,TRINITY MEDICAL CENTER,AL,33.516358600000004,-86.7483395
10113,MOBILE INFIRMARY,AL,30.6963935,-88.07983949999998
10139,BROOKWOOD MEDICAL CENTER,AL,33.464071399999995,-86.7728707
20017,ALASKA REGIONAL HOSPITAL,AK,61.210404000000004,-149.8286335
30002,BANNER GOOD SAMARITAN MEDICAL CENTER,AZ,33.4649397,-112.05795649999999
30006,TUCSON MEDICAL CENTER,AZ,32.252903,-110.8780795
30007,VERDE VALLEY MEDICAL CENTER,AZ,34.73577589999999,-112.0292561
30010,CARONDELET ST  MARYS HOSPITAL,AZ,32.26256560000001,-111.1175767
30011,CARONDELET ST JOSEPHS HOSPITAL,AZ,32.2265668,-110.85533500000001
30012,YAVAPAI REGIONAL MEDICAL CENTER,AZ,34.5596203,-112.48118810000001
30013,YUMA REGIONAL MEDICAL CENTER,AZ,32.6823988,-114.63491599999999
30023,FLAGSTAFF MEDICAL CENTER,AZ,35.20832,-111.64398600000001
30024,ST JOSEPHS HOSPITAL AND MEDICAL CENTER,AZ,33.4819191,-112.0793604
30030,PHOENIX BAPTIST HOSPITAL,AZ,33.5247707,-112.1021957
